content,sentiment_score,sentiment_label,cut_words
什么垃圾物流，等了一个星期才送到，包装还破了，极其无语！,0.0011807099208470673,负面(Negative),什么 垃圾 物流 一个 星期 送到 包装 极其
算是中规中矩的一款产品，没有太大亮点，也没有致命缺点。,0.9962965150934664,正面(Positive),算是 中规中矩 一款 产品 没有 亮点 没有 致命 缺点
给老爸买的，他很喜欢，字体够大，声音也很大，电池很耐用。,0.9949984102723533,正面(Positive),老爸 喜欢 字体 声音 很大 电池 耐用
打游戏非常流畅，满帧运行，散热也做的很好，极力推荐购买。,0.9990754827113132,正面(Positive),打游戏 非常 流畅 满帧 运行 散热 极力推荐 购买
发货速度慢如蜗牛，催了好几次都没用，购物体验极差！,0.014787899280838235,负面(Negative),发货 速度慢 蜗牛 几次 没用 购物 体验 极差
屏幕大且清晰，看视频特别爽，充电速度也是一流的，半小时充满。,0.9999547887052899,正面(Positive),屏幕 大且 清晰 视频 特别 充电 速度 一流 半小时 充满
有点贵，性价比不高，其他平台便宜好几百，感觉买亏了，大怨种。,0.9735927115962809,正面(Positive),有点 性价比 不高 其他 平台 便宜 好几百 感觉 亏了 大怨种
音质很震撼，降噪效果明显，戴着也很舒服，简直是通勤神器。,0.9241328565020162,正面(Positive),音质 震撼 降噪 效果 明显 舒服 简直 通勤 神器
颜色没有色差，和图片上一样，全五星好评，物流也很快。,0.12722637579536955,负面(Negative),颜色 没有 色差 图片 一样 五星 好评 物流 很快
电池续航太差了，一天要充两次电，发热严重，坚决退货！,0.008357672297740093,负面(Negative),电池 续航 太差 一天 要充 两次 发热 严重 坚决 退货
屏幕有个坏点，虽然不大但是看着很难受，质量太差了吧。,0.012342595242955778,负面(Negative),屏幕 有个 坏点 虽然 但是 看着 难受 质量 太差
拍照效果还可以，但是系统有点卡顿，勉强给个中评吧。,0.16397576112031564,负面(Negative),拍照 效果 可以 但是 系统 有点 卡顿 勉强 中评
刚买一天就降价，还不给保价，吃相太难看了，退钱！,0.02122625172286996,负面(Negative),刚买 一天 降价 保价 相太 难看 退钱
包装很精致，送人的感觉很有面子，客服小姐姐态度也超级好。,0.7736875532028039,正面(Positive),包装 精致 送人 感觉 面子 客服 小姐姐 态度 超级
手感极佳，屏幕清晰度非常高，苹果的品控还是值得信赖的，拍照绝绝子。,0.9992427057347192,正面(Positive),手感 极佳 屏幕 清晰度 非常 苹果 品控 还是 值得 信赖 拍照 绝绝子
第二次购买了，之前买的给老婆了，自己再买一个，好用！流畅不卡顿！,0.9944761137698741,正面(Positive),第二次 购买 之前 老婆 自己 一个 好用 流畅 不卡顿
系统优化太差了，总是闪退卡死，这还卖这么贵？千万别买！,0.0015582922940404753,负面(Negative),系统优化 太差 总是 闪退 卡死 这么 千万别
能用，但是配件给的太少了，连个充电头都不送，现在厂商真抠。,0.0024290477649633324,负面(Negative),但是 配件 太少 充电 现在 厂商
客服态度极其敷衍，问什么都不回，绝对不会再来这家店了，差评！,6.743566072220375e-07,负面(Negative),客服 态度 极其 敷衍 什么 绝对 不会 这家 差评
降噪根本没用，底噪还很大，简直是交智商税，已申请退货。,1.271235194166831e-05,负面(Negative),降噪 根本 没用 底噪 很大 简直 智商 申请 退货
物流挺快，但是东西也就那样，一分钱一分货吧。,0.3585923387733878,负面(Negative),物流 挺快 但是 东西 那样 一分钱 一分货
说是全新正品，结果拿到手发现有使用痕迹，怀疑是二手翻新机！,0.1414881999329578,负面(Negative),全新 正品 结果 拿到 发现 使用 痕迹 怀疑 二手 翻新
在这个价位里算很能打的了，性价比超高，支持国产，华为加油！,0.9999754581487831,正面(Positive),这个 价位 里算 性价比 超高 支持 国产 华为 加油
手机收到了，外观很漂亮，运行速度非常快，非常满意！遥遥领先！,0.9999576282836091,正面(Positive),手机 收到 外观 很漂亮 运行 速度 非常 非常 满意 遥遥领先
一般般吧，没网上吹的那么神，凑合用，习惯性好评。,0.23887093193423814,负面(Negative),一般般 网上 那么 凑合 习惯性 好评
